PROGRAM NAME,MAJOR,ENROLLMENT,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,FIST YEAR,,,SECOND YEAR,,,THIRD YEAR,,,FOURTH YEAR,,,FIFTH YEAR,,,SIXTH YEAR,,,TOTAL YEAR,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
BS ELECTRICAL ENGINEERING,,43,18,61,43,13,56,21,3,24,6,1,7,14,5,19,0,0,0,127,40,167
BS COMPUTER ENGINEERING (DAY CLASS),,71,43,114,20,28,48,27,22,49,15,13,28,16,13,29,0,0,0,149,119,268
BS COMPUTER ENGINEERING (NIGHT CLASS),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BACHELOR OF SECONDARY EDUCATION,,,,,,,,,,,,,,,,,,,,,,
,ENGLISH,11,66,77,3,33,36,4,17,21,2,11,13,0,0,0,0,0,0,20,127,147
,MATHEMATICS,10,28,38,5,26,31,8,14,22,0,0,0,0,0,0,0,0,0,23,68,91
,SCIENCE / BIOLOGICAL SCIENCES,4,22,26,8,18,26,5,6,11,0,0,0,0,0,0,0,0,0,17,46,63
,,25,116,141,16,77,93,17,37,54,2,11,13,0,0,0,0,0,0,60,241,301
BS COMPUTER SCIENCE,,44,46,90,16,10,26,9,14,23,20,14,34,0,0,0,0,0,0,89,84,173
BS INFORMATION TECHNOLOGY,,87,93,180,78,51,129,41,51,92,44,42,86,0,0,0,0,0,0,250,237,487
BS BUSINESS MANAGEMENT,MARKETING MANAGEMENT,67,262,329,42,177,219,20,120,140,21,104,125,0,0,0,0,0,0,150,663,813
BS BUSINESS ADMINISTRATION,MARKETING MANAGEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS HOSPITALITY MANAGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS INDUSTRIAL TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,
,AUTOMOTIVE TECHNOLOGY,50,2,52,15,3,18,17,0,17,10,0,10,0,0,0,0,0,0,92,5,97
,DRAFTING TECHNOLOGY,9,20,29,4,3,7,11,9,20,8,3,11,0,0,0,0,0,0,32,35,67
,ELECTRICAL TECHNOLOGY,36,1,37,27,0,27,25,3,28,3,0,3,0,0,0,0,0,0,91,4,95
,ELECTRONICS TECHNOLOGY,18,7,25,13,3,16,17,9,26,5,3,8,1,0,1,0,0,0,54,22,76
,FASHION APPAREL TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,HVAC-R TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MECHANICAL TECHNOLOGY,19,0,19,20,1,21,18,4,22,14,0,14,0,0,0,0,0,0,71,5,76
,STATIONARY MARINE TECHNOLOGY,66,8,74,27,2,29,24,1,25,16,3,19,0,0,0,0,0,0,133,14,147
,WELDING & FABRICATION TECHNOLOGY,9,3,12,12,0,12,8,3,11,8,4,12,0,0,0,0,0,0,37,10,47
,,207,41,248,118,12,130,120,29,149,64,13,77,1,0,1,0,0,0,510,95,605
BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION,,,,,,,,,,,,,,,,,,,,,,
,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AUTOMOTIVE TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ELECTRICAL TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ELECTRONICS TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"GARMENTS, FASHION & DESIGN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,HOTEL & RESTAURANT SERVICES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FOOD & SERVICE MANAGEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MECHANICAL TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,WELDING & FABRICATION TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,587,697,1284,353,405,758,273,307,580,191,269,460,31,18,49,0,0,0,1435,1696,3131
TEACHER CERTIFICATE PROGRAM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND TOTAL,,587,697,1284,353,405,758,273,307,580,191,269,460,31,18,49,0,0,0,1435,1696,3131
