PROGRAM NAME,MAJOR,ENROLLMENT,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,FIST YEAR,,,SECOND YEAR,,,THIRD YEAR,,,FOURTH YEAR,,,FIFTH YEAR,,,SIXTH YEAR,,,TOTAL YEAR,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
BS ELECTRICAL ENGINEERING,,47,13,60,47,8,55,3,3,6,11,2,13,29,11,40,0,0,0,137,37,174
BS COMPUTER ENGINEERING (DAY CLASS),,33,18,51,20,19,39,25,7,32,10,10,20,41,29,70,0,0,0,129,83,212
BS COMPUTER ENGINEERING (NIGHT CLASS),,0,0,0,0,0,0,0,0,0,2,2,4,7,5,12,0,0,0,9,7,16
BACHELOR OF SECONDARY EDUCATION,,,,,,,,,,,,,,,,,,,,,,
,ENGLISH,17,54,71,10,54,64,1,6,7,0,14,14,0,0,0,0,0,0,28,128,156
,MATHEMATICS,2,7,9,10,22,32,0,0,0,0,7,7,0,0,0,0,0,0,12,36,48
,SCIENCE / BIOLOGICAL SCIENCES,6,16,22,7,15,22,1,6,7,0,0,0,0,0,0,0,0,0,14,37,51
,,25,77,102,27,91,118,2,12,14,0,21,21,0,0,0,0,0,0,54,201,255
BS COMPUTER SCIENCE,,19,21,40,86,56,142,0,0,0,0,0,0,0,0,0,0,0,0,105,77,182
BS INFORMATION TECHNOLOGY,,69,48,117,90,59,149,19,16,35,45,44,89,0,0,0,0,0,0,223,167,390
BS BUSINESS MANAGEMENT,MARKETING MANAGEMENT,74,189,263,75,252,327,18,54,72,15,62,77,0,0,0,0,0,0,182,557,739
BS BUSINESS ADMINISTRATION,MARKETING MANAGEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS HOSPITALITY MANAGEMENT,,43,83,126,57,95,152,0,0,0,0,0,0,0,0,0,0,0,0,100,178,278
BS INDUSTRIAL TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,
,AUTOMOTIVE TECHNOLOGY,54,4,58,35,0,35,8,0,8,9,0,9,0,0,0,0,0,0,106,4,110
,DRAFTING TECHNOLOGY,28,19,47,16,16,32,10,7,17,6,6,12,0,0,0,0,0,0,60,48,108
,ELECTRICAL TECHNOLOGY,63,19,82,38,3,41,7,0,7,16,1,17,0,0,0,0,0,0,124,23,147
,ELECTRONICS TECHNOLOGY,25,17,42,18,4,22,4,4,8,5,4,9,0,0,0,0,0,0,52,29,81
,FASHION APPAREL TECHNOLOGY,0,25,25,1,24,25,0,0,0,0,0,0,0,0,0,0,0,0,1,49,50
,HVAC-R TECHNOLOGY,18,0,18,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33
,MECHANICAL TECHNOLOGY,37,11,48,21,0,21,5,0,5,8,1,9,0,0,0,0,0,0,71,12,83
,STATIONARY MARINE TECHNOLOGY,17,15,32,21,4,25,10,1,11,13,1,14,0,0,0,0,0,0,61,21,82
,WELDING & FABRICATION TECHNOLOGY,27,7,34,25,6,31,0,0,0,2,1,3,0,0,0,0,0,0,54,14,68
,,269,117,386,190,57,247,44,12,56,59,14,73,0,0,0,0,0,0,562,200,762
BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION,,,,,,,,,,,,,,,,,,,,,,
,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AUTOMOTIVE TECHNOLOGY,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
,ELECTRICAL TECHNOLOGY,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
,ELECTRONICS TECHNOLOGY,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
,"GARMENTS, FASHION & DESIGN",0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
,HOTEL & RESTAURANT SERVICES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FOOD & SERVICE MANAGEMENT,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
,MECHANICAL TECHNOLOGY,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,WELDING & FABRICATION TECHNOLOGY,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
,,12,10,22,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,16,13,29
TOTAL,,591,576,1167,596,640,1236,123,129,252,152,192,344,77,45,122,0,0,0,1539,1582,3121
TEACHER CERTIFICATE PROGRAM,,18,26,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,44
GRAND TOTAL,,609,602,1211,596,640,1236,123,129,252,152,192,344,77,45,122,0,0,0,1557,1608,3165
"Prepared by:                                                                                                                                                                                                                                                                                                                                                                                             Noted:by:
MARLYN A. QUINEZ                                                                                                                                                                                                                                           LAURO B. PASCUA, Ed.D.
OIC, REGISTRAR'S OFFICE                                                                                                                                                                                                                                                                                                                                                         CAMPUS ADMINISTRATOR",,,,,,,,,,,,,,,,,,,,,,
,,ENROLLMENT,,,,,,,,,,,,,,,,,,,,
,,JUNIOR HIGH SCHOOL,,,,,,,,,,,,SENIOR HIGH SCHOOL,,,,,,,,
,,GRADE 7,,,GRADE 8,,,GRADE 9,,,GRADE 10,,,GRADE 11,,,GRADE 12,,,TOTAL,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
LABORATORY SCIENCE HIGH SCHOOL,,9,13,22,12,16,28,10,16,26,10,17,27,7,11,18,11,19,30,59,92,151
