PROGRAM NAME,MAJOR,ENROLLMENT,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,FIST YEAR,,,SECOND YEAR,,,THIRD YEAR,,,FOURTH YEAR,,,FIFTH YEAR,,,SIXTH YEAR,,,TOTAL YEAR,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
BS ELECTRICAL ENGINEERING,,42,18,60,0,0,0,67,31,98,0,0,0,0,0,0,0,0,0,109,49,158
BS COMPUTER ENGINEERING (DAY CLASS),,0,0,0,0,0,0,49,25,74,0,0,0,0,0,0,0,0,0,49,25,74
BS COMPUTER ENGINEERING (NIGHT CLASS),,0,0,0,0,0,0,26,7,33,0,0,0,0,0,0,0,0,0,26,7,33
BACHELOR OF SECONDARY EDUCATION,,,,,,,,,,,,,,,,,,,,,,
,ENGLISH,9,45,54,9,72,81,0,0,0,0,0,0,0,0,0,0,0,0,18,117,135
,MATHEMATICS,13,41,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41,54
,SCIENCE / BIOLOGICAL SCIENCES,10,39,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,49
,,32,125,157,9,72,81,0,0,0,0,0,0,0,0,0,0,0,0,41,197,238
BS COMPUTER SCIENCE,,0,0,0,66,29,95,32,14,46,0,0,0,0,0,0,0,0,0,98,43,141
BS INFORMATION TECHNOLOGY,,0,0,0,94,39,133,103,40,143,0,0,0,0,0,0,0,0,0,197,79,276
BS BUSINESS MANAGEMENT,MARKETING MANAGEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS BUSINESS ADMINISTRATION,MARKETING MANAGEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS HOSPITALITY MANAGEMENT,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BS INDUSTRIAL TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,
,AUTOMOTIVE TECHNOLOGY,74,2,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2,76
,DRAFTING TECHNOLOGY,39,21,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,60
,ELECTRICAL TECHNOLOGY,46,7,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,53
,ELECTRONICS TECHNOLOGY,44,22,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22,66
,FASHION APPAREL TECHNOLOGY,3,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,31
,HVAC-R TECHNOLOGY,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
,MECHANICAL TECHNOLOGY,26,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,27
,STATIONARY MARINE TECHNOLOGY,51,10,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,10,61
,WELDING & FABRICATION TECHNOLOGY,35,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,39
,,321,95,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,95,416
BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION,,,,,,,,,,,,,,,,,,,,,,
,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AUTOMOTIVE TECHNOLOGY,0,0,0,0,0,0,5,2,7,4,0,4,0,0,0,0,0,0,9,2,11
,ELECTRICAL TECHNOLOGY,0,0,0,0,0,0,3,1,4,3,0,3,0,0,0,0,0,0,6,1,7
,ELECTRONICS TECHNOLOGY,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
,"GARMENTS, FASHION & DESIGN",0,0,0,0,0,0,1,3,4,0,4,4,0,0,0,0,0,0,1,7,8
,HOTEL & RESTAURANT SERVICES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FOOD & SERVICE MANAGEMENT,0,0,0,0,0,0,3,28,31,4,19,23,0,0,0,0,0,0,7,47,54
,MECHANICAL TECHNOLOGY,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
,WELDING & FABRICATION TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,12,34,46,17,23,40,0,0,0,0,0,0,29,57,86
TOTAL,,395,239,634,169,140,309,289,151,440,17,23,40,0,0,0,0,0,0,870,553,1423
TEACHER CERTIFICATE PROGRAM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND TOTAL,,395,239,634,169,140,309,289,151,440,17,23,40,0,0,0,0,0,0,870,553,1423
"Prepared by:                                                                                                                                                                                                                                                                                                                                                                                             Noted:by:
MARLYN A. QUINEZ                                                                                                                                                                                                                                           LAURO B. PASCUA, Ed.D.
OIC, REGISTRAR'S OFFICE                                                                                                                                                                                                                                                                                                                                                         CAMPUS ADMINISTRATOR",,,,,,,,,,,,,,,,,,,,,,
,,ENROLLMENT,,,,,,,,,,,,,,,,,,,,
,,JUNIOR HIGH SCHOOL,,,,,,,,,,,,SENIOR HIGH SCHOOL,,,,,,,,
,,GRADE 7,,,GRADE 8,,,GRADE 9,,,GRADE 10,,,GRADE 11,,,GRADE 12,,,TOTAL,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
LABORATORY SCIENCE HIGH SCHOOL,,9,13,22,12,16,28,10,16,26,10,17,27,7,11,18,11,19,30,59,92,151
