PROGRAM NAME,MAJOR,ENROLLMENT,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,FIST YEAR,,,SECOND YEAR,,,THIRD YEAR,,,FOURTH YEAR,,,FIFTH YEAR,,,SIXTH YEAR,,,TOTAL YEAR,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
BS ELECTRICAL ENGINEERING,,73,14,87,33,15,48,32,18,50,88,46,134,0,0,0,0,0,0,226,93,319
BS COMPUTER ENGINEERING (DAY CLASS),,71,39,110,24,19,43,28,13,41,67,25,92,0,0,0,0,0,0,190,96,286
BS COMPUTER ENGINEERING (NIGHT CLASS),,13,4,17,0,0,0,15,6,21,21,7,28,0,0,0,0,0,0,49,17,66
BACHELOR OF SECONDARY EDUCATION,,,,,,,,,,,,,,,,,,,,,,
,ENGLISH,24,48,72,9,42,51,9,73,82,17,59,76,0,0,0,0,0,0,59,222,281
,MATHEMATICS,30,41,71,12,41,53,7,15,22,10,18,28,0,0,0,0,0,0,59,115,174
,SCIENCE / BIOLOGICAL SCIENCES,23,50,73,8,35,43,12,13,25,8,16,24,0,0,0,0,0,0,51,114,165
,,77,139,216,29,118,147,28,101,129,35,93,128,0,0,0,0,0,0,169,451,620
BS COMPUTER SCIENCE,,119,50,169,83,27,110,67,29,96,37,20,57,0,0,0,0,0,0,306,126,432
BS INFORMATION TECHNOLOGY,,131,37,168,72,26,98,95,39,134,106,39,145,0,0,0,0,0,0,404,141,545
BS BUSINESS MANAGEMENT,MARKETING MANAGEMENT,0,0,0,0,0,0,66,176,242,31,107,138,0,0,0,0,0,0,97,283,380
BS BUSINESS ADMINISTRATION,MARKETING MANAGEMENT,85,204,289,79,191,270,0,0,0,0,0,0,0,0,0,0,0,0,164,395,559
BS HOSPITALITY MANAGEMENT,,92,150,242,86,128,214,54,104,158,55,87,142,0,0,0,0,0,0,287,469,756
BS INDUSTRIAL TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,
,AUTOMOTIVE TECHNOLOGY,82,3,85,74,2,76,86,1,87,61,4,65,0,0,0,0,0,0,303,10,313
,DRAFTING TECHNOLOGY,56,39,95,40,21,61,53,32,85,47,22,69,0,0,0,0,0,0,196,114,310
,ELECTRICAL TECHNOLOGY,81,23,104,45,6,51,66,5,71,63,15,78,0,0,0,0,0,0,255,49,304
,ELECTRONICS TECHNOLOGY,73,23,96,45,22,67,38,12,50,32,17,49,0,0,0,0,0,0,188,74,262
,FASHION APPAREL TECHNOLOGY,8,27,35,3,26,29,6,11,17,0,22,22,0,0,0,0,0,0,17,86,103
,HVAC-R TECHNOLOGY,20,2,22,3,0,3,5,1,6,10,0,10,0,0,0,0,0,0,38,3,41
,MECHANICAL TECHNOLOGY,55,7,62,24,1,25,28,3,31,31,8,39,0,0,0,0,0,0,138,19,157
,STATIONARY MARINE TECHNOLOGY,28,6,34,50,10,60,35,5,40,18,10,28,0,0,0,0,0,0,131,31,162
,WELDING & FABRICATION TECHNOLOGY,61,4,65,34,4,38,37,7,44,31,8,39,0,0,0,0,0,0,163,23,186
,,464,134,598,318,92,410,354,77,431,293,106,399,0,0,0,0,0,0,1429,409,1838
BACHELOR OF TECHNICAL VOCATIONAL TEACHER EDUCATION,,,,,,,,,,,,,,,,,,,,,,
,-,17,50,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,67
,AUTOMOTIVE TECHNOLOGY,0,0,0,5,2,7,6,0,6,9,2,11,0,0,0,0,0,0,20,4,24
,ELECTRICAL TECHNOLOGY,0,0,0,0,0,0,3,0,3,6,1,7,0,0,0,0,0,0,9,1,10
,ELECTRONICS TECHNOLOGY,0,0,0,0,0,0,1,1,2,5,0,5,0,0,0,0,0,0,6,1,7
,"GARMENTS, FASHION & DESIGN",0,0,0,0,0,0,3,5,8,1,7,8,0,0,0,0,0,0,4,12,16
,HOTEL & RESTAURANT SERVICES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FOOD & SERVICE MANAGEMENT,0,0,0,5,10,15,10,16,26,7,47,54,0,0,0,0,0,0,22,73,95
,MECHANICAL TECHNOLOGY,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
,WELDING & FABRICATION TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,17,50,67,10,12,22,23,22,45,29,57,86,0,0,0,0,0,0,79,141,220
TOTAL,,1142,821,1963,734,628,1362,762,585,1347,762,587,1349,0,0,0,0,0,0,3400,2621,6021
TEACHER CERTIFICATE PROGRAM,,16,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,35,51
GRAND TOTAL,,1158,856,2014,734,628,1362,762,585,1347,762,587,1349,0,0,0,0,0,0,3416,2656,6072
"Prepared by:                                                                                                                                                                                                                                                                                                                                                                                             Noted:by:
MARLYN A. QUINEZ                                                                                                                                                                                                                                           LAURO B. PASCUA, Ed.D.
OIC, REGISTRAR'S OFFICE                                                                                                                                                                                                                                                                                                                                                         CAMPUS ADMINISTRATOR",,,,,,,,,,,,,,,,,,,,,,
,,ENROLLMENT,,,,,,,,,,,,,,,,,,,,
,,JUNIOR HIGH SCHOOL,,,,,,,,,,,,SENIOR HIGH SCHOOL,,,,,,,,
,,GRADE 7,,,GRADE 8,,,GRADE 9,,,GRADE 10,,,GRADE 11,,,GRADE 12,,,TOTAL,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
LABORATORY SCIENCE HIGH SCHOOL,,9,13,22,12,16,28,10,16,26,10,17,27,7,11,18,11,19,30,59,92,151
