A.Y. 2015-2016,,,A.Y. 2019-2020,,,A.Y. 2023-2024,
SEMESTER,FIGURE,,SEMESTER,FIGURE,,SEMESTER,FIGURE
First,56,,First,62,,First,86
Second,47,,Second,59,,Second,20
Summer,11,,Midyear,Pandemic,,Midyear,17
,,,,,,,
A.Y. 2016-2017,,,A.Y. 2020-2021,,,A.Y. 2024-2025,
SEMESTER,FIGURE,,SEMESTER,FIGURE,,SEMESTER,FIGURE
First,35,,First,40,,First,50
Second,29,,Second,9,,Second,23
Midyear,7,,Midyear,1,,Midyear,Wala pa pows
,,,,,,,
A.Y. 2017-2018,,,A.Y. 2021-2022,,,,
SEMESTER,FIGURE,,SEMESTER,FIGURE,,,
First,57,,First,39,,,
Second,24,,Second,21,,,
Midyear,5,,Midyear,15,,,
,,,,,,,
A.Y. 2018-2019,,,A.Y. 2022-2023,,,,
SEMESTER,FIGURE,,SEMESTER,FIGURE,,,
First,66,,First,39,,,
Second,39,,Second,40,,,
Midyear,9,,Midyear,4,,,
