,,,
,,,
,,,
,,,
,,,
,,,
,AY,Semester,Number of enrollees
,2015-2016,1st ,3290
,2015-2016,2nd,3096
,2015-2016,Midyear,759
,2016-2017,1st ,2718
,2016-2017,2nd,2670
,2016-2017,Midyear,718
,2017-2018,1st ,2466
,2017-2018,2nd,2360
,2017-2018,Midyear,1014
,2018-2019,1st ,3541
,2018-2019,2nd,3220
,2018-2019,Midyear,845
,2019-2020,1st ,3462
,2019-2020,2nd,3316
,2020-2021,1st ,3976
,2020-2021,2nd,3782
,2020-2021,Midyear,527
,2021-2022,1st ,4944
,2021-2022,2nd,4726
,2021-2022,Midyear,1823
,2022-2023,1st ,5560
,2022-2023,2nd,5080
,2022-2023,Midyear,1996
,2023-2024,1st ,5892
,2023-2024,2nd,5398
,2024-2025,Midyear,1574
,2024-2025,1st ,6223
,2024-2025,2nd,5952
